class,listing_id,year,verdict,flag,images
chevrolet_malibu,7504867,2013,old-generation,,11
chevrolet_malibu2,7000141,2020,new-generation,,5
chevrolet_malibu2,7110399,,unknown (no longer listed),,10
chevrolet_malibu2,7256352,2019,new-generation,,3
chevrolet_malibu2,7257423,,unknown (no longer listed),,5
chevrolet_malibu2,7293403,,unknown (no longer listed),,7
chevrolet_malibu2,7327353,,unknown (no longer listed),,10
chevrolet_malibu2,7328813,2021,new-generation,,4
chevrolet_malibu2,7387928,,unknown (no longer listed),,4
chevrolet_malibu2,7388769,2018,new-generation,,7
chevrolet_malibu2,7389199,,unknown (no longer listed),,7
chevrolet_malibu2,7390279,,unknown (no longer listed),,2
chevrolet_malibu2,7390781,,unknown (no longer listed),,1
chevrolet_malibu2,7397322,,unknown (no longer listed),,5
chevrolet_malibu2,7403441,,unknown (no longer listed),,5
chevrolet_malibu2,7405007,,unknown (no longer listed),,6
chevrolet_malibu2,7405145,,unknown (no longer listed),,6
chevrolet_malibu2,7408535,,unknown (no longer listed),,7
chevrolet_malibu2,7420466,2018,new-generation,,6
chevrolet_malibu2,7422343,,unknown (no longer listed),,2
chevrolet_malibu2,7422587,,unknown (no longer listed),,3
chevrolet_malibu2,7423798,,unknown (no longer listed),,4
chevrolet_malibu2,7436439,2018,new-generation,,7
chevrolet_malibu2,7437026,,unknown (no longer listed),,5
chevrolet_malibu2,7437261,,unknown (no longer listed),,6
chevrolet_malibu2,7437642,,unknown (no longer listed),,5
chevrolet_malibu2,7438176,2018,new-generation,,4
chevrolet_malibu2,7445326,,unknown (no longer listed),,1
chevrolet_malibu2,7446664,,unknown (no longer listed),,8
chevrolet_malibu2,7447994,,unknown (no longer listed),,6
chevrolet_malibu2,7448954,2021,new-generation,,11
chevrolet_malibu2,7450702,,unknown (no longer listed),,7
chevrolet_malibu2,7451425,,unknown (no longer listed),,2
chevrolet_malibu2,7451497,,unknown (no longer listed),,5
chevrolet_malibu2,7451576,,unknown (no longer listed),,1
chevrolet_malibu2,7453225,,unknown (no longer listed),,7
chevrolet_malibu2,7453347,,unknown (no longer listed),,5
chevrolet_malibu2,7453525,,unknown (no longer listed),,8
chevrolet_malibu2,7453592,,unknown (no longer listed),,8
chevrolet_malibu2,7453662,,unknown (no longer listed),,1
chevrolet_malibu2,7456528,,unknown (no longer listed),,0
chevrolet_malibu2,7456532,2019,new-generation,,4
chevrolet_malibu2,7458068,,unknown (no longer listed),,3
chevrolet_malibu2,7458077,2020,new-generation,,8
chevrolet_malibu2,7458721,,unknown (no longer listed),,9
chevrolet_malibu2,7464255,,unknown (no longer listed),,4
chevrolet_malibu2,7464797,,unknown (no longer listed),,13
chevrolet_malibu2,7465591,2024,new-generation,,2
chevrolet_malibu2,7466010,2023,new-generation,,8
chevrolet_malibu2,7466473,,unknown (no longer listed),,8
chevrolet_malibu2,7467607,2018,new-generation,,7
chevrolet_malibu2,7468042,,unknown (no longer listed),,5
chevrolet_malibu2,7468365,,unknown (no longer listed),,3
chevrolet_malibu2,7468621,,unknown (no longer listed),,7
chevrolet_malibu2,7468991,,unknown (no longer listed),,4
chevrolet_malibu2,7469178,,unknown (no longer listed),,4
chevrolet_malibu2,7469189,,unknown (no longer listed),,3
chevrolet_malibu2,7470342,,unknown (no longer listed),,1
chevrolet_malibu2,7470416,,unknown (no longer listed),,4
chevrolet_malibu2,7470816,,unknown (no longer listed),,5
chevrolet_malibu2,7471524,2018,new-generation,,6
chevrolet_malibu2,7474176,2023,new-generation,,6
chevrolet_malibu2,7475893,,unknown (no longer listed),,7
chevrolet_malibu2,7478075,,unknown (no longer listed),,5
chevrolet_malibu2,7479438,,unknown (no longer listed),,10
chevrolet_malibu2,7482137,2022,new-generation,,10
chevrolet_malibu2,7482177,2020,new-generation,,6
chevrolet_malibu2,7484761,,unknown (no longer listed),,5
chevrolet_malibu2,7484774,,unknown (no longer listed),,7
chevrolet_malibu2,7484797,,unknown (no longer listed),,6
chevrolet_malibu2,7484812,,unknown (no longer listed),,5
chevrolet_malibu2,7485018,,unknown (no longer listed),,10
chevrolet_malibu2,7485031,,unknown (no longer listed),,10
chevrolet_malibu2,7485046,,unknown (no longer listed),,2
chevrolet_malibu2,7485180,,unknown (no longer listed),,0
chevrolet_malibu2,7485181,,unknown (no longer listed),,3
chevrolet_malibu2,7485307,2023,new-generation,,6
chevrolet_malibu2,7485308,,unknown (no longer listed),,6
chevrolet_malibu2,7485364,,unknown (no longer listed),,6
chevrolet_malibu2,7485372,2020,new-generation,,9
chevrolet_malibu2,7485648,,unknown (no longer listed),,5
chevrolet_malibu2,7485723,,unknown (no longer listed),,5
chevrolet_malibu2,7485725,,unknown (no longer listed),,4
chevrolet_malibu2,7485729,,unknown (no longer listed),,3
chevrolet_malibu2,7486043,,unknown (no longer listed),,6
chevrolet_malibu2,7486195,,unknown (no longer listed),,3
chevrolet_malibu2,7487081,,unknown (no longer listed),,8
chevrolet_malibu2,7487418,,unknown (no longer listed),,6
chevrolet_malibu2,7488677,,unknown (no longer listed),,9
chevrolet_malibu2,7489075,,unknown (no longer listed),,5
chevrolet_malibu2,7489215,2018,new-generation,,4
chevrolet_malibu2,7489437,,unknown (no longer listed),,11
chevrolet_malibu2,7490298,,unknown (no longer listed),,7
chevrolet_malibu2,7492694,,unknown (no longer listed),,9
chevrolet_malibu2,7492856,,unknown (no longer listed),,4
chevrolet_malibu2,7492958,2023,new-generation,,4
chevrolet_malibu2,7498352,,unknown (no longer listed),,7
chevrolet_malibu2,7499656,2020,new-generation,,14
chevrolet_malibu2,7501052,,unknown (no longer listed),,2
chevrolet_malibu2,7501577,,unknown (no longer listed),,13
chevrolet_malibu2,7501599,,unknown (no longer listed),,3
chevrolet_malibu2,7501605,,unknown (no longer listed),,4
chevrolet_malibu2,7501612,,unknown (no longer listed),,3
chevrolet_malibu2,7501618,,unknown (no longer listed),,4
chevrolet_malibu2,7501633,,unknown (no longer listed),,9
chevrolet_malibu2,7501826,,unknown (no longer listed),,10
chevrolet_malibu2,7501828,,unknown (no longer listed),,9
chevrolet_malibu2,7501846,,unknown (no longer listed),,8
chevrolet_malibu2,7501857,,unknown (no longer listed),,4
chevrolet_malibu2,7501917,,unknown (no longer listed),,1
chevrolet_malibu2,7501932,,unknown (no longer listed),,9
chevrolet_malibu2,7501947,,unknown (no longer listed),,9
chevrolet_malibu2,7501957,,unknown (no longer listed),,4
chevrolet_malibu2,7502008,,unknown (no longer listed),,7
chevrolet_malibu2,7502071,2020,new-generation,,3
chevrolet_malibu2,7502221,,unknown (no longer listed),,2
chevrolet_malibu2,7502249,,unknown (no longer listed),,2
chevrolet_malibu2,7502259,,unknown (no longer listed),,3
chevrolet_malibu2,7502270,2023,new-generation,,7
chevrolet_malibu2,7502299,,unknown (no longer listed),,2
chevrolet_malibu2,7502351,,unknown (no longer listed),,6
chevrolet_malibu2,7502387,,unknown (no longer listed),,4
chevrolet_malibu2,7502403,,unknown (no longer listed),,5
chevrolet_malibu2,7502542,,unknown (no longer listed),,2
chevrolet_malibu2,7502570,,unknown (no longer listed),,6
chevrolet_malibu2,7502636,,unknown (no longer listed),,4
chevrolet_malibu2,7502650,,unknown (no longer listed),,2
chevrolet_malibu2,7502709,,unknown (no longer listed),,10
chevrolet_malibu2,7502725,,unknown (no longer listed),,13
chevrolet_malibu2,7502783,,unknown (no longer listed),,19
chevrolet_malibu2,7502812,,unknown (no longer listed),,1
chevrolet_malibu2,7502842,,unknown (no longer listed),,2
chevrolet_malibu2,7502910,,unknown (no longer listed),,2
chevrolet_malibu2,7503028,,unknown (no longer listed),,2
chevrolet_malibu2,7503029,,unknown (no longer listed),,8
chevrolet_malibu2,7503150,,unknown (no longer listed),,2
chevrolet_malibu2,7503454,,unknown (no longer listed),,1
chevrolet_malibu2,7503843,2018,new-generation,,8
chevrolet_malibu2,7503850,,unknown (no longer listed),,8
chevrolet_malibu2,7503951,,unknown (no longer listed),,8
chevrolet_malibu2,7503974,,unknown (no longer listed),,3
chevrolet_malibu2,7504072,,unknown (no longer listed),,4
chevrolet_malibu2,7504078,,unknown (no longer listed),,10
chevrolet_malibu2,7504236,,unknown (no longer listed),,4
chevrolet_malibu2,7504272,,unknown (no longer listed),,7
